year,Jacobabad,Karachi_Jinnah_Airport,Lahore,Multan,Nawabshah,Sibi
2004,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,1.0,1.0,1.0,0.0,0.0
2006,1.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,1.0,1.0,1.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0
2009,1.0,0.0,1.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,2.0,0.0,0.0
2011,0.0,0.0,0.0,1.0,0.0,0.0
2012,0.0,0.0,1.0,1.0,0.0,0.0
2013,0.0,1.0,2.0,0.0,0.0,0.0
2014,1.0,0.0,2.0,0.0,1.0,0.0
2015,1.0,2.0,0.0,0.0,0.0,1.0
2016,4.0,2.0,0.0,0.0,2.0,2.0
2017,1.0,1.0,0.0,1.0,1.0,2.0
2018,3.0,2.0,1.0,3.0,2.0,2.0
2019,2.0,0.0,2.0,2.0,2.0,3.0
2020,1.0,1.0,0.0,2.0,0.0,2.0
2021,0.0,1.0,2.0,0.0,0.0,4.0
2022,0.0,0.0,0.0,1.0,1.0,1.0
