site,threshold,time,t2m_cel,trigger,month,year
Jacobabad,42.75,2006-07-04,44.275,1.0,7,2006
Jacobabad,42.75,2009-07-09,43.175,1.0,7,2009
Jacobabad,42.75,2014-06-29,43.2,1.0,6,2014
Jacobabad,42.75,2015-07-05,43.7,1.0,7,2015
Jacobabad,42.75,2016-05-19,43.875,1.0,5,2016
Jacobabad,42.75,2016-05-22,43.675,1.0,5,2016
Jacobabad,42.75,2016-06-08,43.4,1.0,6,2016
Jacobabad,42.75,2016-06-21,44.025,1.0,6,2016
Jacobabad,42.75,2017-05-28,43.50000000000001,1.0,5,2017
Jacobabad,42.75,2018-06-04,44.345,1.0,6,2018
Jacobabad,42.75,2018-06-08,42.932500000000005,1.0,6,2018
Jacobabad,42.75,2018-06-12,44.89,1.0,6,2018
Jacobabad,42.75,2019-06-01,43.24249999999999,1.0,6,2019
Jacobabad,42.75,2019-06-10,43.235,1.0,6,2019
Jacobabad,42.75,2020-06-18,43.115,1.0,6,2020
Karachi_Jinnah_Airport,34.0,2005-06-22,35.55,1.0,6,2005
Karachi_Jinnah_Airport,34.0,2007-06-22,35.4,1.0,6,2007
Karachi_Jinnah_Airport,34.0,2013-06-14,34.5,1.0,6,2013
Karachi_Jinnah_Airport,34.0,2015-05-02,34.2,1.0,5,2015
Karachi_Jinnah_Airport,34.0,2015-06-19,35.458333333333336,1.0,6,2015
Karachi_Jinnah_Airport,34.0,2016-06-27,34.599999999999994,1.0,6,2016
Karachi_Jinnah_Airport,34.0,2016-07-01,34.24999999999999,1.0,7,2016
Karachi_Jinnah_Airport,34.0,2017-06-27,34.325,1.0,6,2017
Karachi_Jinnah_Airport,34.0,2018-05-20,35.4775,1.0,5,2018
Karachi_Jinnah_Airport,34.0,2018-05-30,37.9225,1.0,5,2018
Karachi_Jinnah_Airport,34.0,2020-07-18,35.4225,1.0,7,2020
Karachi_Jinnah_Airport,34.0,2021-05-17,37.5125,1.0,5,2021
Lahore,40.5,2005-06-22,40.6,1.0,6,2005
Lahore,40.5,2007-06-13,41.525,1.0,6,2007
Lahore,40.5,2009-06-28,41.27,1.0,6,2009
Lahore,40.5,2012-07-02,40.75,1.0,7,2012
Lahore,40.5,2013-06-10,40.925,1.0,6,2013
Lahore,40.5,2013-06-24,41.15,1.0,6,2013
Lahore,40.5,2014-06-16,41.7425,1.0,6,2014
Lahore,40.5,2014-07-13,40.925,1.0,7,2014
Lahore,40.5,2018-06-14,41.25,1.0,6,2018
Lahore,40.5,2019-06-11,40.7825,1.0,6,2019
Lahore,40.5,2019-07-04,41.575,1.0,7,2019
Lahore,40.5,2021-06-09,41.9375,1.0,6,2021
Lahore,40.5,2021-07-01,40.685,1.0,7,2021
Multan,42.0,2005-06-24,43.375,1.0,6,2005
Multan,42.0,2007-06-10,42.775,1.0,6,2007
Multan,42.0,2010-06-21,42.0,1.0,6,2010
Multan,42.0,2010-07-19,42.375,1.0,7,2010
Multan,42.0,2011-06-24,42.005,1.0,6,2011
Multan,42.0,2012-07-04,42.4,1.0,7,2012
Multan,42.0,2017-06-05,42.775,1.0,6,2017
Multan,42.0,2018-06-03,42.432500000000005,1.0,6,2018
Multan,42.0,2018-06-06,42.260000000000005,1.0,6,2018
Multan,42.0,2018-06-13,42.81999999999999,1.0,6,2018
Multan,42.0,2019-06-02,42.725,1.0,6,2019
Multan,42.0,2019-07-04,42.6,1.0,7,2019
Multan,42.0,2020-06-18,43.015,1.0,6,2020
Multan,42.0,2020-07-03,43.0875,1.0,7,2020
Multan,42.0,2022-06-29,42.5925,1.0,6,2022
Nawabshah,39.75,2014-06-03,41.05,1.0,6,2014
Nawabshah,39.75,2016-05-17,40.7,1.0,5,2016
Nawabshah,39.75,2016-06-07,40.3,1.0,6,2016
Nawabshah,39.75,2017-05-26,40.6,1.0,5,2017
Nawabshah,39.75,2018-04-30,39.9625,1.0,4,2018
Nawabshah,39.75,2018-06-01,40.3625,1.0,6,2018
Nawabshah,39.75,2019-05-30,40.89,1.0,5,2019
Nawabshah,39.75,2019-06-06,40.025,1.0,6,2019
Nawabshah,39.75,2022-05-14,40.18,1.0,5,2022
Sibi,35.75,2015-07-05,36.825,1.0,7,2015
Sibi,35.75,2016-05-19,36.125,1.0,5,2016
Sibi,35.75,2016-05-22,36.625,1.0,5,2016
Sibi,35.75,2017-05-28,36.4225,1.0,5,2017
Sibi,35.75,2017-06-05,35.825,1.0,6,2017
Sibi,35.75,2018-06-04,37.675,1.0,6,2018
Sibi,35.75,2018-06-13,37.095,1.0,6,2018
Sibi,35.75,2019-06-30,35.8225,1.0,6,2019
Sibi,35.75,2019-07-04,36.5,1.0,7,2019
Sibi,35.75,2019-07-25,36.25,1.0,7,2019
Sibi,35.75,2020-06-17,36.545,1.0,6,2020
Sibi,35.75,2020-07-03,36.7375,1.0,7,2020
Sibi,35.75,2021-06-09,37.1875,1.0,6,2021
Sibi,35.75,2021-07-01,35.985,1.0,7,2021
Sibi,35.75,2021-07-19,35.845,1.0,7,2021
Sibi,35.75,2021-07-26,35.9525,1.0,7,2021
Sibi,35.75,2022-06-27,36.36,1.0,6,2022
